Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,20,0,3.1e-06
6,20,0,3.6e-06
7,20,0,4.9e-06
8,20,2,2.37e-05
9,20,3,4.39e-05
10,20,4,0.0001106
11,20,4,4.76e-05
12,20,5,0.0001142
13,20,7,0.0009628
14,20,7,0.0004446
15,20,9,0.0004968
16,20,9,0.0031055
17,20,12,0.001869
18,20,11,0.0058359
19,20,14,0.0131025
5,20,0,7.8e-06
6,20,0,3.1e-06
7,20,2,1.85e-05
8,20,4,2.17e-05
9,20,3,5.47e-05
10,20,4,5.59e-05
11,20,6,9.59e-05
12,20,7,0.0001563
13,20,6,0.0004115
14,20,9,0.0013476
15,20,8,0.0008666
16,20,8,0.0026821
17,20,10,0.0021905
18,20,12,0.0192871
19,20,10,0.0045489
5,20,0,1.6e-06
6,20,1,5e-06
7,20,0,9.4e-06
8,20,4,3.29e-05
9,20,5,6.04e-05
10,20,4,5.36e-05
11,20,6,0.0001008
12,20,5,4.76e-05
13,20,7,0.0003201
14,20,9,0.0003381
15,20,7,0.0011038
16,20,11,0.002925
17,20,11,0.0023152
18,20,12,0.0051549
19,20,11,0.0063594
5,20,0,1.19e-05
6,20,2,8.6e-06
7,20,0,4.2e-06
8,20,3,1.44e-05
9,20,5,1.46e-05
10,20,4,7.07e-05
11,20,4,8.66e-05
12,20,5,0.0001471
13,20,6,0.0002577
14,20,10,0.0005608
15,20,9,0.0011
16,20,9,0.0004615
17,20,11,0.0015203
18,20,11,0.0100536
19,20,10,0.0080728
5,20,0,4.3e-06
6,20,1,1.09e-05
7,20,1,7.1e-06
8,20,2,2.56e-05
9,20,4,4.25e-05
10,20,0,5.9e-06
11,20,3,1.17e-05
12,20,2,0.0001016
13,20,7,4.61e-05
14,20,5,0.0007971
15,20,8,0.0016679
16,20,10,0.0065309
17,20,10,0.0039832
18,20,11,0.019919
19,20,14,0.015457
5,20,0,3.7e-06
6,20,1,3.5e-06
7,20,0,9.4e-06
8,20,4,2.05e-05
9,20,2,2.44e-05
10,20,3,7.67e-05
11,20,6,0.0001094
12,20,7,0.0001362
13,20,5,0.0004497
14,20,8,0.000728
15,20,9,0.0005227
16,20,11,0.0025081
17,20,10,0.0022018
18,20,11,0.0117051
19,20,11,0.0051843
5,20,0,2.7e-06
6,20,2,8.7e-06
7,20,2,1.09e-05
8,20,6,3.29e-05
9,20,1,2.17e-05
10,20,4,6.51e-05
11,20,4,0.0003312
12,20,7,0.0001502
13,20,6,0.0003364
14,20,6,0.0003189
15,20,9,0.0016145
16,20,10,0.0021734
17,20,10,0.0052868
18,20,11,0.010042
19,20,12,0.0019915
5,20,0,1.1e-06
6,20,1,3.3e-06
7,20,2,8.8e-06
8,20,2,1.2e-05
9,20,4,3.68e-05
10,20,3,3.25e-05
11,20,7,7.84e-05
12,20,6,0.0004496
13,20,5,0.0003376
14,20,8,0.0005157
15,20,7,0.0015291
16,20,10,0.00119
17,20,9,0.005062
18,20,10,0.0056626
19,20,14,0.0037009
5,20,0,3.1e-06
6,20,1,1.72e-05
7,20,3,1.24e-05
8,20,3,2.64e-05
9,20,1,9.9e-06
10,20,6,0.0001088
11,20,4,5.93e-05
12,20,6,0.0003367
13,20,5,0.0004367
14,20,6,0.000419
15,20,8,0.0003187
16,20,12,0.0008368
17,20,12,0.0014152
18,20,10,0.0133697
19,20,13,0.0024532
5,20,0,1.6e-06
6,20,2,6.6e-06
7,20,1,1.26e-05
8,20,3,1.08e-05
9,20,3,4.55e-05
10,20,5,0.000128
11,20,5,6.45e-05
12,20,5,0.0003232
13,20,8,0.000774
14,20,10,0.000395
15,20,10,0.0010461
16,20,12,0.0014833
17,20,11,0.0054395
18,20,10,0.0036441
19,20,12,0.0072664
