Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,20,0,7.1e-06
6,20,0,4.7e-06
7,20,1,5.4e-06
8,20,3,2.83e-05
9,20,3,5.74e-05
10,20,2,0.000122
11,20,5,0.0001372
12,20,7,0.00017
13,20,8,0.0001516
14,20,10,0.0006712
15,20,7,0.0006456
16,20,9,0.0019261
17,20,11,0.0032444
18,20,11,0.0031989
19,20,13,0.0153637
20,20,11,0.0056263
21,20,13,0.006225
22,20,15,0.112911
23,20,17,0.108542
24,20,16,0.612697
5,20,0,5.4e-06
6,20,1,5.3e-06
7,20,3,1.24e-05
8,20,5,2.13e-05
9,20,3,3.51e-05
10,20,3,7.72e-05
11,20,5,0.0002027
12,20,6,0.0001858
13,20,8,0.0003273
14,20,9,0.0012548
15,20,7,0.0026202
16,20,10,0.0020362
17,20,10,0.0019417
18,20,11,0.0087786
19,20,11,0.011428
20,20,14,0.0082212
21,20,15,0.0054835
22,20,15,0.0804202
23,20,16,0.0639639
24,20,16,0.324575
5,20,1,3.3e-06
6,20,1,5.4e-06
7,20,0,1.96e-05
8,20,2,8.6e-06
9,20,4,8.25e-05
10,20,2,6.15e-05
11,20,3,7.99e-05
12,20,6,0.0002958
13,20,8,0.0005142
14,20,8,0.0003176
15,20,9,0.0009327
16,20,7,0.0010272
17,20,12,0.0022219
18,20,12,0.006819
19,20,11,0.0062662
20,20,11,0.0622949
21,20,16,0.0769709
22,20,17,0.122889
23,20,17,0.0125433
24,20,15,0.302113
5,20,0,6.6e-06
6,20,0,5.7e-06
7,20,3,1.11e-05
8,20,2,1.96e-05
9,20,3,6.12e-05
10,20,5,5.65e-05
11,20,4,0.0001425
12,20,6,0.0004997
13,20,7,0.0001537
14,20,9,0.0010372
15,20,10,0.0022831
16,20,10,0.0017787
17,20,10,0.0004244
18,20,11,0.0153425
19,20,12,0.0055693
20,20,13,0.0077063
21,20,14,0.0131088
22,20,14,0.0113071
23,20,15,0.128392
24,20,18,0.334695
5,20,0,8.5e-06
6,20,0,7.5e-06
7,20,1,1.84e-05
8,20,2,2.8e-05
9,20,3,7.13e-05
10,20,3,2.25e-05
11,20,4,8.64e-05
12,20,6,9.61e-05
13,20,2,0.0001341
14,20,7,0.0008851
15,20,8,0.0012416
16,20,10,0.0026491
17,20,10,0.0056811
18,20,11,0.0132306
19,20,13,0.0095729
20,20,11,0.010881
21,20,15,0.0171134
22,20,15,0.0582441
23,20,16,0.199089
24,20,17,0.147231
5,20,0,4.8e-06
6,20,3,6.9e-06
7,20,1,9.7e-06
8,20,2,6e-06
9,20,3,1.71e-05
10,20,3,1.65e-05
11,20,5,0.0001956
12,20,5,0.0001993
13,20,7,0.0005246
14,20,9,0.0002219
15,20,6,0.0007003
16,20,8,0.0064641
17,20,12,0.001501
18,20,11,0.0069634
19,20,12,0.0118591
20,20,11,0.0111699
21,20,14,0.0365177
22,20,17,0.0424158
23,20,15,0.360937
24,20,16,0.333441
5,20,0,2.8e-06
6,20,0,4.4e-06
7,20,1,1.23e-05
8,20,1,1.95e-05
9,20,2,6.19e-05
10,20,2,2.4e-05
11,20,6,7.06e-05
12,20,6,0.0002666
13,20,7,0.0005839
14,20,5,0.0001821
15,20,8,0.0010521
16,20,10,0.0005438
17,20,11,0.0087805
18,20,11,0.0080321
19,20,14,0.0238167
20,20,12,0.0071778
21,20,15,0.0908207
22,20,16,0.111846
23,20,19,0.0446995
24,20,16,0.147515
5,20,0,1.1e-06
6,20,0,3.1e-06
7,20,3,1.65e-05
8,20,3,2.68e-05
9,20,5,6.43e-05
10,20,4,8.33e-05
11,20,4,5.23e-05
12,20,5,0.0001388
13,20,6,0.0003049
14,20,8,0.0007422
15,20,9,0.0002127
16,20,10,0.0023802
17,20,10,0.001661
18,20,13,0.0073907
19,20,12,0.0040602
20,20,12,0.0081533
21,20,15,0.0392721
22,20,15,0.101799
23,20,18,0.0881648
24,20,17,0.476568
5,20,1,3.5e-06
6,20,1,3.9e-06
7,20,1,1.83e-05
8,20,3,9.1e-06
9,20,2,2.95e-05
10,20,4,5.42e-05
11,20,5,9.35e-05
12,20,8,0.0001336
13,20,6,0.000531
14,20,7,0.0005631
15,20,8,0.0010311
16,20,9,0.004256
17,20,10,0.0082696
18,20,11,0.0027953
19,20,13,0.0155136
20,20,14,0.0311579
21,20,13,0.0622044
22,20,16,0.0856471
23,20,18,0.127068
24,20,15,0.377842
5,20,0,7.6e-06
6,20,0,8.1e-06
7,20,1,1.34e-05
8,20,2,1.27e-05
9,20,1,2.5e-05
10,20,4,4.67e-05
11,20,5,0.0001048
12,20,6,0.0002712
13,20,8,0.0005271
14,20,7,0.0002428
15,20,7,0.001116
16,20,7,0.0032044
17,20,10,0.0007166
18,20,9,0.0036663
19,20,13,0.0037332
20,20,14,0.0117346
21,20,16,0.0050518
22,20,17,0.0208907
23,20,16,0.0518222
24,20,17,0.132101
