Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,15,0,4.3e-06
6,15,0,4e-06
7,15,4,1.03e-05
8,15,2,1.75e-05
9,15,4,2.63e-05
10,15,6,0.0001587
11,15,6,0.000212
12,15,7,0.0001801
13,15,9,0.0003888
14,15,7,0.0008831
15,15,9,0.001467
16,15,11,0.0029029
17,15,12,0.0034084
18,15,14,0.0041409
19,15,13,0.0020868
5,15,0,2.7e-06
6,15,0,1.22e-05
7,15,3,2.11e-05
8,15,2,3.53e-05
9,15,6,5.63e-05
10,15,4,1.66e-05
11,15,8,0.0002599
12,15,8,0.000181
13,15,6,0.0005027
14,15,8,0.0002492
15,15,11,0.0010653
16,15,11,0.0007312
17,15,12,0.0045254
18,15,14,0.0035928
19,15,13,0.013783
5,15,2,4.9e-06
6,15,3,7.2e-06
7,15,2,2.11e-05
8,15,4,7.4e-06
9,15,4,7.17e-05
10,15,6,8.99e-05
11,15,6,0.000177
12,15,7,0.000127
13,15,10,0.0004186
14,15,9,0.0002685
15,15,12,0.0012726
16,15,11,0.0059602
17,15,13,0.0006879
18,15,13,0.0047731
19,15,14,0.0067031
5,15,2,4.1e-06
6,15,1,8.1e-06
7,15,2,1.89e-05
8,15,4,1.83e-05
9,15,4,2.9e-05
10,15,6,0.0001608
11,15,5,0.0001377
12,15,7,0.0001848
13,15,9,0.0004671
14,15,10,0.0011243
15,15,10,0.0027504
16,15,11,0.0015861
17,15,12,0.0091071
18,15,15,0.0019914
19,15,11,0.0051876
5,15,0,5.4e-06
6,15,1,1.1e-05
7,15,3,2.07e-05
8,15,3,3.07e-05
9,15,5,0.000102
10,15,7,7.46e-05
11,15,7,0.0001511
12,15,8,0.0002841
13,15,7,0.0004672
14,15,9,0.0011974
15,15,11,0.001805
16,15,12,0.0002893
17,15,13,0.0042612
18,15,12,0.0185196
19,15,15,0.0092075
5,15,1,4.9e-06
6,15,2,5.8e-06
7,15,0,1.29e-05
8,15,2,6.3e-06
9,15,1,4.69e-05
10,15,6,0.0001248
11,15,6,0.0001538
12,15,7,0.0001533
13,15,9,0.0008327
14,15,8,0.0007579
15,15,10,0.0016499
16,15,11,0.0022687
17,15,12,0.0044945
18,15,12,0.0089825
19,15,14,0.0092703
5,15,2,4.7e-06
6,15,1,9.5e-06
7,15,4,1.49e-05
8,15,3,1.37e-05
9,15,3,4.46e-05
10,15,6,6.04e-05
11,15,7,0.0001462
12,15,8,0.0001044
13,15,7,0.0002473
14,15,8,8.62e-05
15,15,9,9.79e-05
16,15,10,0.0007706
17,15,13,0.0030411
18,15,10,0.0006112
19,15,16,0.0066068
5,15,2,3.2e-06
6,15,1,5.4e-06
7,15,2,9.5e-06
8,15,2,2.93e-05
9,15,3,1.42e-05
10,15,5,2.95e-05
11,15,8,8.52e-05
12,15,4,2.92e-05
13,15,8,0.0003708
14,15,8,0.0006541
15,15,10,0.0024888
16,15,13,0.000486
17,15,12,0.002244
18,15,14,0.014304
19,15,14,0.0109955
5,15,2,3.6e-06
6,15,2,3.1e-06
7,15,2,1.1e-05
8,15,2,1.4e-05
9,15,5,5.21e-05
10,15,5,4.31e-05
11,15,7,9.66e-05
12,15,8,0.0001991
13,15,8,0.0002688
14,15,9,0.0011385
15,15,10,0.0029709
16,15,11,0.0043939
17,15,12,0.006941
18,15,15,0.0018842
19,15,11,0.0011482
5,15,2,6.5e-06
6,15,2,5.4e-06
7,15,0,9.1e-06
8,15,2,1e-05
9,15,5,2.4e-05
10,15,5,6.7e-05
11,15,5,0.0001675
12,15,8,0.0005903
13,15,8,0.0004372
14,15,9,0.0011537
15,15,9,0.0004774
16,15,10,0.0027986
17,15,13,0.0016363
18,15,13,0.0011752
19,15,15,0.0164317
