Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,20,0,4.9e-06
6,20,0,4.5e-06
7,20,0,6.1e-06
8,20,2,2.51e-05
9,20,3,5.19e-05
10,20,4,0.0001122
11,20,4,4.75e-05
12,20,5,0.0001246
13,20,7,0.0008529
14,20,7,0.0005282
15,20,9,0.001736
16,20,9,0.0045615
17,20,12,0.0042379
18,20,11,0.0151413
19,20,14,0.0303359
5,20,0,1.13e-05
6,20,0,3.9e-06
7,20,2,1.91e-05
8,20,4,2.8e-05
9,20,3,3.49e-05
10,20,4,6.84e-05
11,20,6,0.0001261
12,20,7,0.000291
13,20,6,0.0003887
14,20,9,0.0017948
15,20,8,0.0015053
16,20,8,0.0031549
17,20,10,0.002379
18,20,12,0.0249819
19,20,10,0.0110307
5,20,0,2e-06
6,20,1,6.3e-06
7,20,0,1.12e-05
8,20,4,2.68e-05
9,20,5,6.04e-05
10,20,4,7.46e-05
11,20,6,0.0001279
12,20,5,8.3e-05
13,20,7,0.0003837
14,20,9,0.000643
15,20,7,0.0012669
16,20,11,0.0068518
17,20,11,0.0094097
18,20,12,0.0068011
19,20,11,0.0076173
5,20,0,1.72e-05
6,20,2,1.04e-05
7,20,0,5e-06
8,20,3,1.79e-05
9,20,5,3.81e-05
10,20,4,5.35e-05
11,20,4,0.0001056
12,20,5,0.0001939
13,20,6,0.0002646
14,20,10,0.0015563
15,20,9,0.0027875
16,20,9,0.0009575
17,20,11,0.0037729
18,20,11,0.012527
19,20,10,0.0140937
5,20,0,3.4e-06
6,20,1,1.54e-05
7,20,1,6.7e-06
8,20,2,2.83e-05
9,20,4,3.86e-05
10,20,0,8.1e-06
11,20,3,1.98e-05
12,20,2,0.0001188
13,20,7,0.0001682
14,20,5,0.0009139
15,20,8,0.0027023
16,20,10,0.0059845
17,20,10,0.0073858
18,20,11,0.0374441
19,20,14,0.0342499
5,20,0,4.1e-06
6,20,1,4.9e-06
7,20,0,8.1e-06
8,20,4,3.44e-05
9,20,2,3.22e-05
10,20,3,6.74e-05
11,20,6,0.0001401
12,20,7,0.000223
13,20,5,0.0005141
14,20,8,0.0008844
15,20,9,0.0010438
16,20,11,0.0023675
17,20,10,0.0049213
18,20,11,0.018668
19,20,11,0.0131565
5,20,0,3.7e-06
6,20,2,8e-06
7,20,2,1.3e-05
8,20,6,5.92e-05
9,20,1,2.06e-05
10,20,4,5.02e-05
11,20,4,0.0002382
12,20,7,0.0002161
13,20,6,0.0004491
14,20,6,0.0003693
15,20,9,0.0021216
16,20,10,0.0026337
17,20,10,0.0059255
18,20,11,0.0137552
19,20,12,0.0096227
5,20,0,1.3e-06
6,20,1,4.1e-06
7,20,2,9.6e-06
8,20,2,1.16e-05
9,20,4,3.79e-05
10,20,3,3.87e-05
11,20,7,0.0001584
12,20,6,0.0005722
13,20,5,0.0004347
14,20,8,0.0008451
15,20,7,0.0017185
16,20,10,0.0023898
17,20,9,0.0062835
18,20,10,0.0035449
19,20,14,0.0218657
5,20,0,3.6e-06
6,20,1,1.83e-05
7,20,3,1.59e-05
8,20,3,2.2e-05
9,20,1,1.14e-05
10,20,6,0.0001394
11,20,4,6.79e-05
12,20,6,0.0003805
13,20,5,0.0003361
14,20,6,0.0005735
15,20,8,0.0010236
16,20,12,0.0019484
17,20,12,0.0059518
18,20,10,0.0127316
19,20,13,0.0104028
5,20,0,1.5e-06
6,20,2,7.5e-06
7,20,1,1.15e-05
8,20,3,1.35e-05
9,20,3,4.15e-05
10,20,5,0.0001037
11,20,5,6.29e-05
12,20,5,0.0002631
13,20,8,0.0011673
14,20,10,0.001723
15,20,10,0.0020866
16,20,12,0.0027106
17,20,11,0.0104298
18,20,10,0.0074457
19,20,12,0.0200593
