Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,15,0,3.2e-06
6,15,0,3.7e-06
7,15,4,1.95e-05
8,15,2,1.64e-05
9,15,4,4.01e-05
10,15,6,0.000216
11,15,6,0.0004501
12,15,7,0.0004043
13,15,9,0.0005788
14,15,7,0.0011292
15,15,9,0.0029944
16,15,11,0.0095676
17,15,12,0.0109555
18,15,14,0.0358927
19,15,13,0.0144431
5,15,0,2.7e-06
6,15,0,8.4e-06
7,15,3,2.36e-05
8,15,2,3.39e-05
9,15,6,7.97e-05
10,15,4,2.19e-05
11,15,8,0.0005089
12,15,8,0.0004622
13,15,6,0.0005189
14,15,8,0.0007102
15,15,11,0.0023111
16,15,11,0.0031144
17,15,12,0.0127708
18,15,14,0.0395653
19,15,13,0.0325391
5,15,2,6.7e-06
6,15,3,1.1e-05
7,15,2,3.33e-05
8,15,4,1.32e-05
9,15,4,7.21e-05
10,15,6,0.0001461
11,15,6,0.0002629
12,15,7,0.0002297
13,15,10,0.0008715
14,15,9,0.0005867
15,15,12,0.0023563
16,15,11,0.0113677
17,15,13,0.0046538
18,15,13,0.0304365
19,15,14,0.0303744
5,15,2,3.4e-06
6,15,1,7.3e-06
7,15,2,2.27e-05
8,15,4,2.42e-05
9,15,4,3.68e-05
10,15,6,0.0002558
11,15,5,0.000328
12,15,7,0.0004035
13,15,9,0.0017033
14,15,10,0.0024503
15,15,10,0.005834
16,15,11,0.0070627
17,15,12,0.0211957
18,15,15,0.038701
19,15,11,0.0117951
5,15,0,4.1e-06
6,15,1,9.9e-06
7,15,3,3.04e-05
8,15,3,3.49e-05
9,15,5,0.0001332
10,15,7,0.0001466
11,15,7,0.0003134
12,15,8,0.0003739
13,15,7,0.0007232
14,15,9,0.0015941
15,15,11,0.0036669
16,15,12,0.005829
17,15,13,0.0124399
18,15,12,0.0369724
19,15,15,0.0682885
5,15,1,3.8e-06
6,15,2,5.5e-06
7,15,0,1.06e-05
8,15,2,2.27e-05
9,15,1,5.16e-05
10,15,6,0.0001746
11,15,6,0.0001635
12,15,7,0.0003403
13,15,9,0.0020808
14,15,8,0.0015013
15,15,10,0.0052763
16,15,11,0.0054029
17,15,12,0.0126449
18,15,12,0.0179613
19,15,14,0.0300828
5,15,2,6.5e-06
6,15,1,1.34e-05
7,15,4,1.93e-05
8,15,3,1.46e-05
9,15,3,4.78e-05
10,15,6,0.0001514
11,15,7,0.0003642
12,15,8,0.0004321
13,15,7,0.0005547
14,15,8,0.0002435
15,15,9,0.0013225
16,15,10,0.0035549
17,15,13,0.0102473
18,15,10,0.0033054
19,15,16,0.0679979
5,15,2,4.3e-06
6,15,1,4.7e-06
7,15,2,1.05e-05
8,15,2,4.18e-05
9,15,3,1.56e-05
10,15,5,4.21e-05
11,15,8,0.0002206
12,15,4,3.65e-05
13,15,8,0.0006377
14,15,8,0.001638
15,15,10,0.0048104
16,15,13,0.0045398
17,15,12,0.0109994
18,15,14,0.0563269
19,15,14,0.0561126
5,15,2,3.9e-06
6,15,2,3.7e-06
7,15,2,1.69e-05
8,15,2,1.26e-05
9,15,5,8.59e-05
10,15,5,0.0001109
11,15,7,0.0001295
12,15,8,0.0007174
13,15,8,0.0003964
14,15,9,0.001578
15,15,10,0.0050414
16,15,11,0.0093628
17,15,12,0.0162717
18,15,15,0.0438336
19,15,11,0.0068324
5,15,2,6.6e-06
6,15,2,4.7e-06
7,15,0,9.6e-06
8,15,2,1.17e-05
9,15,5,5.3e-05
10,15,5,0.0001005
11,15,5,0.0002556
12,15,8,0.000789
13,15,8,0.0010062
14,15,9,0.0026363
15,15,9,0.00124
16,15,10,0.0068365
17,15,13,0.0230834
18,15,13,0.028822
19,15,15,0.111282
