Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,15,0,4.4e-06
6,15,0,3.9e-06
7,15,4,1.03e-05
8,15,2,1.75e-05
9,15,4,2.64e-05
10,15,6,0.00015
11,15,6,0.000216
12,15,7,0.0001765
13,15,9,0.000347
14,15,7,0.0009015
15,15,9,0.0014269
16,15,11,0.0028603
17,15,12,0.00348
18,15,14,0.0042712
19,15,13,0.0020956
5,15,0,3.2e-06
6,15,0,1.25e-05
7,15,3,2.17e-05
8,15,2,3.52e-05
9,15,6,5.44e-05
10,15,4,1.68e-05
11,15,8,0.0002482
12,15,8,0.0001778
13,15,6,0.0005026
14,15,8,0.0002493
15,15,11,0.0010752
16,15,11,0.0007401
17,15,12,0.004722
18,15,14,0.0032228
19,15,13,0.0137016
5,15,2,4.8e-06
6,15,3,7.1e-06
7,15,2,2.11e-05
8,15,4,7.5e-06
9,15,4,6.8e-05
10,15,6,8.98e-05
11,15,6,0.0001767
12,15,7,0.0001268
13,15,10,0.0004129
14,15,9,0.000268
15,15,12,0.0012148
16,15,11,0.0059034
17,15,13,0.0006837
18,15,13,0.0047235
19,15,14,0.0066746
5,15,2,3.9e-06
6,15,1,7.9e-06
7,15,2,1.82e-05
8,15,4,1.74e-05
9,15,4,2.8e-05
10,15,6,0.0001541
11,15,5,0.0001364
12,15,7,0.0001784
13,15,9,0.0004655
14,15,10,0.0011062
15,15,10,0.0027143
16,15,11,0.0016042
17,15,12,0.0091054
18,15,15,0.0019847
19,15,11,0.0051567
5,15,0,5.2e-06
6,15,1,1.1e-05
7,15,3,2.07e-05
8,15,3,3.08e-05
9,15,5,9.95e-05
10,15,7,7.47e-05
11,15,7,0.0001608
12,15,8,0.0002869
13,15,7,0.0004671
14,15,9,0.0012401
15,15,11,0.0018365
16,15,12,0.0003123
17,15,13,0.0045377
18,15,12,0.0183492
19,15,15,0.0077287
5,15,1,4.8e-06
6,15,2,5.4e-06
7,15,0,1.25e-05
8,15,2,5.9e-06
9,15,1,4.34e-05
10,15,6,9.78e-05
11,15,6,0.000137
12,15,7,0.0001358
13,15,9,0.0007598
14,15,8,0.0007497
15,15,10,0.0015612
16,15,11,0.0022115
17,15,12,0.0044032
18,15,12,0.0089351
19,15,14,0.009193
5,15,2,4.5e-06
6,15,1,9.4e-06
7,15,4,1.48e-05
8,15,3,1.39e-05
9,15,3,4.13e-05
10,15,6,6.08e-05
11,15,7,0.0001455
12,15,8,0.0001016
13,15,7,0.0002475
14,15,8,8.4e-05
15,15,9,9.77e-05
16,15,10,0.0007701
17,15,13,0.0030317
18,15,10,0.0006073
19,15,16,0.0065726
5,15,2,3.4e-06
6,15,1,5.5e-06
7,15,2,9.5e-06
8,15,2,2.95e-05
9,15,3,1.38e-05
10,15,5,2.96e-05
11,15,8,8.56e-05
12,15,4,2.92e-05
13,15,8,0.0003755
14,15,8,0.0006506
15,15,10,0.002479
16,15,13,0.0004864
17,15,12,0.0022429
18,15,14,0.014336
19,15,14,0.0114708
5,15,2,4.2e-06
6,15,2,3.1e-06
7,15,2,1.08e-05
8,15,2,1.39e-05
9,15,5,5.2e-05
10,15,5,4.36e-05
11,15,7,9.63e-05
12,15,8,0.0001996
13,15,8,0.0002683
14,15,9,0.0011296
15,15,10,0.0029842
16,15,11,0.004356
17,15,12,0.0065948
18,15,15,0.0015225
19,15,11,0.0009316
5,15,2,5.3e-06
6,15,2,4.6e-06
7,15,0,7.4e-06
8,15,2,8.1e-06
9,15,5,1.98e-05
10,15,5,5.55e-05
11,15,5,0.0001373
12,15,8,0.0004699
13,15,8,0.0003668
14,15,9,0.0009355
15,15,9,0.0003924
16,15,10,0.0025861
17,15,13,0.0016401
18,15,13,0.001158
19,15,15,0.0162609
