Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,20,0,3.2e-06
6,20,0,3.4e-06
7,20,0,5.9e-06
8,20,2,2.42e-05
9,20,3,4.59e-05
10,20,4,0.0001176
11,20,4,4.99e-05
12,20,5,0.0001325
13,20,7,0.0011216
14,20,7,0.0005556
15,20,9,0.0017505
16,20,9,0.0052444
17,20,12,0.0045782
18,20,11,0.0147496
19,20,14,0.0287692
5,20,0,7.4e-06
6,20,0,2.9e-06
7,20,2,1.86e-05
8,20,4,2.42e-05
9,20,3,5.59e-05
10,20,4,6.03e-05
11,20,6,0.0001423
12,20,7,0.0002664
13,20,6,0.000479
14,20,9,0.0017977
15,20,8,0.0015446
16,20,8,0.0032126
17,20,10,0.0029947
18,20,12,0.0294156
19,20,10,0.0110348
5,20,0,1.4e-06
6,20,1,4.9e-06
7,20,0,9.1e-06
8,20,4,3.89e-05
9,20,5,7.01e-05
10,20,4,7.06e-05
11,20,6,0.0001285
12,20,5,8.65e-05
13,20,7,0.0003919
14,20,9,0.0006267
15,20,7,0.0013803
16,20,11,0.0069288
17,20,11,0.0090498
18,20,12,0.0076452
19,20,11,0.0088199
5,20,0,1.18e-05
6,20,2,9.2e-06
7,20,0,4e-06
8,20,3,1.69e-05
9,20,5,3.48e-05
10,20,4,7.9e-05
11,20,4,0.0001065
12,20,5,0.0001952
13,20,6,0.0003195
14,20,10,0.0014759
15,20,9,0.0027116
16,20,9,0.0008898
17,20,11,0.0036209
18,20,11,0.0136936
19,20,10,0.0136196
5,20,0,4.2e-06
6,20,1,1.06e-05
7,20,1,7.1e-06
8,20,2,2.74e-05
9,20,4,5.09e-05
10,20,0,5.9e-06
11,20,3,1.86e-05
12,20,2,9.71e-05
13,20,7,0.0001659
14,20,5,0.0008205
15,20,8,0.0023783
16,20,10,0.0078213
17,20,10,0.008931
18,20,11,0.0380188
19,20,14,0.0291191
5,20,0,3.6e-06
6,20,1,3.5e-06
7,20,0,9.2e-06
8,20,4,3.28e-05
9,20,2,2.5e-05
10,20,3,8.28e-05
11,20,6,0.0001501
12,20,7,0.0002263
13,20,5,0.0004839
14,20,8,0.0010988
15,20,9,0.0009625
16,20,11,0.0038062
17,20,10,0.0051334
18,20,11,0.0175855
19,20,11,0.0139191
5,20,0,2.5e-06
6,20,2,9e-06
7,20,2,1.15e-05
8,20,6,5.6e-05
9,20,1,2.16e-05
10,20,4,7.73e-05
11,20,4,0.0003423
12,20,7,0.0001953
13,20,6,0.0004331
14,20,6,0.000341
15,20,9,0.0020226
16,20,10,0.0034977
17,20,10,0.0063679
18,20,11,0.014289
19,20,12,0.0091771
5,20,0,1.2e-06
6,20,1,3.8e-06
7,20,2,9.3e-06
8,20,2,1.24e-05
9,20,4,4.37e-05
10,20,3,3.66e-05
11,20,7,0.0001599
12,20,6,0.0005041
13,20,5,0.0004111
14,20,8,0.0008208
15,20,7,0.0016672
16,20,10,0.0022654
17,20,9,0.0059015
18,20,10,0.00722
19,20,14,0.021799
5,20,0,3.1e-06
6,20,1,1.77e-05
7,20,3,1.51e-05
8,20,3,2.9e-05
9,20,1,1.04e-05
10,20,6,0.0001291
11,20,4,6.44e-05
12,20,6,0.0003681
13,20,5,0.0004881
14,20,6,0.0005231
15,20,8,0.0010846
16,20,12,0.0018152
17,20,12,0.0055404
18,20,10,0.0176587
19,20,13,0.0112031
5,20,0,1.6e-06
6,20,2,8e-06
7,20,1,1.19e-05
8,20,3,1.27e-05
9,20,3,4.89e-05
10,20,5,0.0001489
11,20,5,7.86e-05
12,20,5,0.0003607
13,20,8,0.0012201
14,20,10,0.00161
15,20,10,0.0021286
16,20,12,0.0030252
17,20,11,0.0098461
18,20,10,0.0072256
19,20,12,0.0197878
