Informantes,Respuestas,Agentes_Confiables,Tiempo_s
5,20,0,3.7e-06
6,20,0,3.1e-06
7,20,1,4.3e-06
8,20,3,2.27e-05
9,20,3,4.89e-05
10,20,2,7.13e-05
11,20,5,0.0001359
12,20,7,0.0001994
13,20,8,0.000259
14,20,10,0.0017631
15,20,7,0.0009547
16,20,9,0.004002
17,20,11,0.0063508
18,20,11,0.0109644
19,20,13,0.0296175
20,20,11,0.0163336
21,20,13,0.0332503
22,20,15,0.226446
23,20,17,0.315517
24,20,16,1.36781
5,20,0,4.5e-06
6,20,1,4.2e-06
7,20,3,1.66e-05
8,20,5,3.23e-05
9,20,3,3.64e-05
10,20,3,6.71e-05
11,20,5,0.0002722
12,20,6,0.0002022
13,20,8,0.0007843
14,20,9,0.0025558
15,20,7,0.0040866
16,20,10,0.0049861
17,20,10,0.0069168
18,20,11,0.0298487
19,20,11,0.024444
20,20,14,0.0326875
21,20,15,0.0825442
22,20,15,0.170836
23,20,16,0.313466
24,20,16,0.730045
5,20,1,2.9e-06
6,20,1,7.7e-06
7,20,0,2.02e-05
8,20,2,8.6e-06
9,20,4,0.0001252
10,20,2,5.39e-05
11,20,3,9.39e-05
12,20,6,0.0003287
13,20,8,0.0007718
14,20,8,0.0006493
15,20,9,0.0021878
16,20,7,0.0023193
17,20,12,0.0047412
18,20,12,0.0136238
19,20,11,0.0149396
20,20,11,0.0923415
21,20,16,0.1294
22,20,17,0.468377
23,20,17,0.344194
24,20,15,0.619132
5,20,0,4.9e-06
6,20,0,4.1e-06
7,20,3,1.36e-05
8,20,2,1.72e-05
9,20,3,5.46e-05
10,20,5,6.29e-05
11,20,4,0.0001737
12,20,6,0.0004785
13,20,7,0.0002256
14,20,9,0.0018543
15,20,10,0.0064082
16,20,10,0.0020019
17,20,10,0.0020022
18,20,11,0.0215725
19,20,12,0.0135193
20,20,13,0.0296183
21,20,14,0.0998987
22,20,14,0.0832062
23,20,15,0.408956
24,20,18,1.51674
5,20,0,8.1e-06
6,20,0,5.4e-06
7,20,1,2.12e-05
8,20,2,3.91e-05
9,20,3,7.55e-05
10,20,3,5.14e-05
11,20,4,0.0001551
12,20,6,0.0001458
13,20,2,0.0001367
14,20,7,0.0013107
15,20,8,0.0023123
16,20,10,0.0054085
17,20,10,0.0149156
18,20,11,0.0204676
19,20,13,0.0260445
20,20,11,0.0188831
21,20,15,0.0760421
22,20,15,0.359109
23,20,16,0.498991
24,20,17,0.412612
5,20,0,4.2e-06
6,20,3,8.9e-06
7,20,1,7.7e-06
8,20,2,6.4e-06
9,20,3,1.98e-05
10,20,3,1.95e-05
11,20,5,0.0002194
12,20,5,0.0003207
13,20,7,0.0009287
14,20,9,0.0005099
15,20,6,0.0006569
16,20,8,0.006111
17,20,12,0.0043939
18,20,11,0.0072263
19,20,12,0.0292488
20,20,11,0.0151426
21,20,14,0.102264
22,20,17,0.189061
23,20,15,0.511145
24,20,16,0.635783
5,20,0,2.6e-06
6,20,0,3.4e-06
7,20,1,1.28e-05
8,20,1,1.57e-05
9,20,2,5.86e-05
10,20,2,2.68e-05
11,20,6,9.29e-05
12,20,6,0.0003398
13,20,7,0.0009664
14,20,5,0.0002056
15,20,8,0.0012624
16,20,10,0.002348
17,20,11,0.0147829
18,20,11,0.0112881
19,20,14,0.0617918
20,20,12,0.0220372
21,20,15,0.150881
22,20,16,0.240524
23,20,19,0.909324
24,20,16,0.777362
5,20,0,1.1e-06
6,20,0,2.3e-06
7,20,3,1.69e-05
8,20,3,3.18e-05
9,20,5,0.0001026
10,20,4,0.0001142
11,20,4,5.65e-05
12,20,5,0.0002597
13,20,6,0.0004402
14,20,8,0.0010549
15,20,9,0.0007781
16,20,10,0.0045752
17,20,10,0.0032302
18,20,13,0.0135472
19,20,12,0.0073417
20,20,12,0.0240229
21,20,15,0.110122
22,20,15,0.238527
23,20,18,0.255531
24,20,17,0.843708
5,20,1,3.6e-06
6,20,1,4.1e-06
7,20,1,2.01e-05
8,20,3,1.95e-05
9,20,2,3.5e-05
10,20,4,7.52e-05
11,20,5,0.000118
12,20,8,0.0002908
13,20,6,0.0006731
14,20,7,0.0009212
15,20,8,0.0020875
16,20,9,0.0079148
17,20,10,0.013957
18,20,11,0.0068897
19,20,13,0.029459
20,20,14,0.111403
21,20,13,0.100493
22,20,16,0.171121
23,20,18,0.585019
24,20,15,0.690153
5,20,0,5.8e-06
6,20,0,7.5e-06
7,20,1,2.15e-05
8,20,2,1.21e-05
9,20,1,2.1e-05
10,20,4,8.02e-05
11,20,5,0.0001248
12,20,6,0.0003309
13,20,8,0.0007302
14,20,7,0.0003219
15,20,7,0.0011317
16,20,7,0.0041648
17,20,10,0.001985
18,20,9,0.0063464
19,20,13,0.014753
20,20,14,0.0758045
21,20,16,0.086445
22,20,17,0.16975
23,20,16,0.176851
24,20,17,0.677129
